Intercept,Slope,Year
18.3206345,0.005787079,1948
16.42488661,0.011496044,1949
15.10416732,0.01402012,1950
15.46790867,0.011965523,1951
15.72972377,0.012968597,1952
15.68015489,0.014689618,1953
15.06427782,0.016654432,1954
15.03040234,0.014433413,1955
14.36545186,0.017754907,1956
15.52795467,0.013592053,1957
14.65195013,0.017631212,1958
15.29753424,0.012843159,1959
14.79879407,0.015112107,1960
16.85358806,0.008590943,1961
15.89138391,0.012759187,1962
15.84640864,0.013606746,1963
16.34968839,0.010740149,1964
15.87042549,0.013301689,1965
15.37272812,0.014401468,1966
16.34825685,0.011166302,1967
15.88095448,0.011904691,1968
14.97279713,0.015096893,1969
15.00056845,0.016665228,1970
14.52383413,0.022127956,1971
16.07162379,0.010868951,1972
16.7762106,0.010026891,1973
16.04685262,0.012896963,1974
16.32956519,0.011734078,1975
16.8418572,0.008384291,1976
16.2391714,0.014571995,1977
15.68109859,0.014883364,1978
14.91162325,0.020227162,1979
16.73262322,0.01250722,1980
17.33359043,0.010513942,1981
16.35165144,0.014307774,1982
17.63144777,0.008231687,1983
16.66624945,0.011726191,1984
16.14603159,0.011652047,1985
16.8314295,0.009732615,1986
16.76078246,0.011978822,1987
16.49793833,0.01217348,1988
17.12814648,0.007799302,1989
17.7825858,0.00715574,1990
16.647634,0.010288431,1991
17.31619451,0.007710191,1992
16.63815724,0.009229836,1993
14.39654391,0.018865981,1994
16.91600191,0.009951918,1995
16.67859128,0.007509111,1996
16.35378073,0.012036961,1997
17.56789969,0.009555132,1998
17.02613726,0.01162899,1999
17.86533729,0.005522005,2000
